Comment,Description,Designator,Footprint,LibRef,Quantity

"CAP-100N","Chip Capacitor, 100 nF, +/- 5%","C1, C3, C5, C7, C9, C11, C12, C13, C14, C15, C18, C19, C20, C21","CAPC0603","CAP-100N","14"
"CAP-10U","Chip Capacitor, 10 uF, +/- 5%","C2, C4, C8, C10","CAPC0603","CAP-10U","4"
"CAP-56P","Chip Capacitor, 56 pF, +/- 5%","C6","CAPC0603","CAP-56P","1"
"CAP-2U2","Chip Capacitor, 2.2 uF, +/- 5","C16, C17","CAPC0603","CAP-2U2","2"
"SS34","40V 3A Low forward voltage drop. High current capability Schottky Diode.","D1, D2","DO-214AC(SMA)","SS34","2"
"DAC","pitch 2.54","J1","PLS-2","PLS-2","1"
"EXT","5.5mm 2.0mm 2A 16V","J2","KLS1-DC-005","KLS1-DC-005A-2.0","1"
"USART","pitch 2.54","J3","PLS-2","PLS-2","1"
"I2C","pitch 2.54","J4","PLS-2","PLS-2","1"
"SPI","pitch 2.54","J5","PLS-4","PLS-4","1"
"PWM","pitch 2.54","J6","PLS-8","PLS-8","1"
"IO","2 row, pitch 2.54","J7","PLD-40","PLD-40","1"
"USB","USB - Type B Female USB 2 4 Through Hole USB Connectors","J8","U241-041N-1BR85-5","USB-B U241-041N-1BR85-5","1"
"ADC","pitch 2.54","J9","PLS-8","PLS-8","1"
"SWD","STM SWD 4 pin","J10","PLS-4","SWD-PLS4","1"
"ESP-01","Socket for ESP8266 ESP-01 Connector PBD 8 pins 2x4 pitch 2.54","J11","ESP-01 Socket","ESP-01 Socket","1"
"NRF24L01","Socket for NRF24L01 / NRF24L01+ Connector PBD 8 pins 2x4 pitch 2.54","J12","NRF24L01+ Socket","NRF24L01+ Socket","1"
"AMPLF0630-100","Shielded Power Inductor 10?H ± 20%","L1","AMPLF0630","AMPLF0630-100","1"
"PWR","Red LED 0603 2V 20mA","LED1","LSM0603-Series","LSM0603412V","1"
"PB10","Green LED 0603 3V 20mA","LED2","LSM0603-Series","LSM0603453V","1"
"RES-49R9","Chip Resistor, 49.9 Ohm, +/- 1%","R1","RES0603","RES-49R9","1"
"RES-100K","Chip Resistor, 100 KOhm, +/- 1%","R2","RES0603","RES-100K","1"
"RES-22K1","Chip Resistor, 22.1 KOhm, +/- 1%","R3","RES0603","RES-22K1","1"
"RES-10K","Chip Resistor, 10 KOhm, +/- 1%","R4, R5, R6, R7, R10, R11","RES0603","RES-10K","6"
"RES-1K","Chip Resistor, 1 KOhm, +/- 1%","R8, R9","RES0603","RES-1K","2"
"BOOT0","2-Pin SMD Tactile Switch, sunrom 3x4x2mm 12V DC 0.2A","S1","Tactile Switch SMD 3x4x2-2p","Tactile Switch 2P 3x4x2","1"
"BOOT1","2-Pin SMD Tactile Switch, sunrom 3x4x2mm 12V DC 0.2A","S2","Tactile Switch SMD 3x4x2-2p","Tactile Switch 2P 3x4x2","1"
"STM RST","2-Pin SMD Tactile Switch, sunrom 3x4x2mm 12V DC 0.2A","S3","Tactile Switch SMD 3x4x2-2p","Tactile Switch 2P 3x4x2","1"
"ESP RST","2-Pin SMD Tactile Switch, sunrom 3x4x2mm 12V DC 0.2A","S4","Tactile Switch SMD 3x4x2-2p","Tactile Switch 2P 3x4x2","1"
"STM32F405VGT6","1024 KB Flash 192 RAM 168 MHz ARM based 32-bit MCU","U1","LQFP-100-STM32","STM32F405VGT6","1"
"TPS54202","4.5-V to 28-V Input, 2-A Output, EMI Friendly
Synchronous Step Down Converter","U2","SOT23-6-TI-TPS54202","TPS54202","1"
"USBLC6-2SC6","Very low capacitance ESD protection  3.5 pF max. USB 2.0 ports up to 480 Mb/s. Ethernet port: 10/100 Mb/s.  SIM card protection","U3","SOT23-6L-STM","USBLC6-2SC6","1"
"CSTCE8M00G55A-R0","8MHz ±0.5% 33pF 40 Ohm(Max) SMDCrystal Resonators","Y1","MURATA_3213","CSTCE8M00G55A-R0","1"
